# cycle	pc	r0	r1	r2	r3	r4	r5	r6	r7	pin_out	pin_oe
0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	1
2	2	0	0	0	0	0	0	0	0	0	3
3	3	139	0	0	0	0	0	0	0	0	3
4	4	139	0	0	0	0	0	0	0	0	3
5	5	139	0	7	0	0	0	0	0	0	3
6	6	139	0	7	0	0	0	0	0	0	3
7	7	23	0	7	0	0	0	0	0	0	3
8	8	23	0	7	0	0	0	0	0	2	3
9	9	23	0	7	0	0	0	0	0	2	3
10	9	23	0	7	0	0	0	0	0	2	3
11	9	23	0	7	0	0	0	0	0	2	3
12	9	23	0	7	0	0	0	0	0	2	3
13	9	23	0	7	0	0	0	0	0	2	3
14	9	23	0	7	0	0	0	0	0	2	3
15	9	23	0	7	0	0	0	0	0	2	3
16	9	23	0	7	0	0	0	0	0	2	3
17	9	23	0	7	0	0	0	0	0	2	3
18	9	23	0	7	0	0	0	0	0	2	3
19	9	23	0	7	0	0	0	0	0	2	3
20	9	23	0	7	0	0	0	0	0	2	3
21	9	23	0	7	0	0	0	0	0	2	3
22	9	23	0	7	0	0	0	0	0	2	3
23	9	23	0	7	0	0	0	0	0	2	3
24	9	23	0	7	0	0	0	0	0	2	3
25	9	23	0	7	0	0	0	0	0	2	3
26	9	23	0	7	0	0	0	0	0	2	3
27	9	23	0	7	0	0	0	0	0	2	3
28	9	23	0	7	0	0	0	0	0	2	3
29	10	23	0	7	0	0	0	0	0	3	3
30	11	23	1	7	0	0	0	0	0	3	3
31	12	23	1	7	0	0	0	0	0	3	3
32	12	23	1	7	0	0	0	0	0	3	3
33	12	23	1	7	0	0	0	0	0	3	3
34	12	23	1	7	0	0	0	0	0	3	3
35	12	23	1	7	0	0	0	0	0	3	3
36	12	23	1	7	0	0	0	0	0	3	3
37	12	23	1	7	0	0	0	0	0	3	3
38	12	23	1	7	0	0	0	0	0	3	3
39	12	23	1	7	0	0	0	0	0	3	3
40	12	23	1	7	0	0	0	0	0	3	3
41	12	23	1	7	0	0	0	0	0	3	3
42	12	23	1	7	0	0	0	0	0	3	3
43	12	23	1	7	0	0	0	0	0	3	3
44	12	23	1	7	0	0	0	0	0	3	3
45	12	23	1	7	0	0	0	0	0	3	3
46	12	23	1	7	0	0	0	0	0	3	3
47	12	23	1	7	0	0	0	0	0	3	3
48	12	23	1	7	0	0	0	0	0	3	3
49	12	23	1	7	0	0	0	0	0	3	3
50	12	23	1	7	0	0	0	0	0	3	3
51	12	23	1	7	0	0	0	0	0	3	3
52	12	23	1	7	0	0	0	0	0	3	3
53	12	23	1	7	0	0	0	0	0	3	3
54	13	23	1	7	0	0	0	0	0	2	3
55	5	23	1	6	0	0	0	0	0	2	3
56	6	23	2	6	0	0	0	0	0	2	3
57	7	46	2	6	0	0	0	0	0	2	3
58	8	46	2	6	0	0	0	0	0	0	3
59	9	46	2	6	0	0	0	0	0	0	3
60	9	46	2	6	0	0	0	0	0	0	3
61	9	46	2	6	0	0	0	0	0	0	3
62	9	46	2	6	0	0	0	0	0	0	3
63	9	46	2	6	0	0	0	0	0	0	3
64	9	46	2	6	0	0	0	0	0	0	3
65	9	46	2	6	0	0	0	0	0	0	3
66	9	46	2	6	0	0	0	0	0	0	3
67	9	46	2	6	0	0	0	0	0	0	3
68	9	46	2	6	0	0	0	0	0	0	3
69	9	46	2	6	0	0	0	0	0	0	3
70	9	46	2	6	0	0	0	0	0	0	3
71	9	46	2	6	0	0	0	0	0	0	3
72	9	46	2	6	0	0	0	0	0	0	3
73	9	46	2	6	0	0	0	0	0	0	3
74	9	46	2	6	0	0	0	0	0	0	3
75	9	46	2	6	0	0	0	0	0	0	3
76	9	46	2	6	0	0	0	0	0	0	3
77	9	46	2	6	0	0	0	0	0	0	3
78	9	46	2	6	0	0	0	0	0	0	3
79	10	46	2	6	0	0	0	0	0	1	3
80	11	46	3	6	0	0	0	0	0	1	3
81	12	46	3	6	0	0	0	0	0	1	3
82	12	46	3	6	0	0	0	0	0	1	3
83	12	46	3	6	0	0	0	0	0	1	3
84	12	46	3	6	0	0	0	0	0	1	3
85	12	46	3	6	0	0	0	0	0	1	3
86	12	46	3	6	0	0	0	0	0	1	3
87	12	46	3	6	0	0	0	0	0	1	3
88	12	46	3	6	0	0	0	0	0	1	3
89	12	46	3	6	0	0	0	0	0	1	3
90	12	46	3	6	0	0	0	0	0	1	3
91	12	46	3	6	0	0	0	0	0	1	3
92	12	46	3	6	0	0	0	0	0	1	3
93	12	46	3	6	0	0	0	0	0	1	3
94	12	46	3	6	0	0	0	0	0	1	3
95	12	46	3	6	0	0	0	0	0	1	3
96	12	46	3	6	0	0	0	0	0	1	3
97	12	46	3	6	0	0	0	0	0	1	3
98	12	46	3	6	0	0	0	0	0	1	3
99	12	46	3	6	0	0	0	0	0	1	3
100	12	46	3	6	0	0	0	0	0	1	3
101	12	46	3	6	0	0	0	0	0	1	3
102	12	46	3	6	0	0	0	0	0	1	3
103	12	46	3	6	0	0	0	0	0	1	3
104	13	46	3	6	0	0	0	0	0	0	3
105	5	46	3	5	0	0	0	0	0	0	3
106	6	46	6	5	0	0	0	0	0	0	3
107	7	92	6	5	0	0	0	0	0	0	3
108	8	92	6	5	0	0	0	0	0	0	3
109	9	92	6	5	0	0	0	0	0	0	3
110	9	92	6	5	0	0	0	0	0	0	3
111	9	92	6	5	0	0	0	0	0	0	3
112	9	92	6	5	0	0	0	0	0	0	3
113	9	92	6	5	0	0	0	0	0	0	3
114	9	92	6	5	0	0	0	0	0	0	3
115	9	92	6	5	0	0	0	0	0	0	3
116	9	92	6	5	0	0	0	0	0	0	3
117	9	92	6	5	0	0	0	0	0	0	3
118	9	92	6	5	0	0	0	0	0	0	3
119	9	92	6	5	0	0	0	0	0	0	3
120	9	92	6	5	0	0	0	0	0	0	3
121	9	92	6	5	0	0	0	0	0	0	3
122	9	92	6	5	0	0	0	0	0	0	3
123	9	92	6	5	0	0	0	0	0	0	3
124	9	92	6	5	0	0	0	0	0	0	3
125	9	92	6	5	0	0	0	0	0	0	3
126	9	92	6	5	0	0	0	0	0	0	3
127	9	92	6	5	0	0	0	0	0	0	3
128	9	92	6	5	0	0	0	0	0	0	3
129	10	92	6	5	0	0	0	0	0	1	3
130	11	92	6	5	0	0	0	0	0	1	3
131	12	92	6	5	0	0	0	0	0	1	3
132	12	92	6	5	0	0	0	0	0	1	3
133	12	92	6	5	0	0	0	0	0	1	3
134	12	92	6	5	0	0	0	0	0	1	3
135	12	92	6	5	0	0	0	0	0	1	3
136	12	92	6	5	0	0	0	0	0	1	3
137	12	92	6	5	0	0	0	0	0	1	3
138	12	92	6	5	0	0	0	0	0	1	3
139	12	92	6	5	0	0	0	0	0	1	3
140	12	92	6	5	0	0	0	0	0	1	3
141	12	92	6	5	0	0	0	0	0	1	3
142	12	92	6	5	0	0	0	0	0	1	3
143	12	92	6	5	0	0	0	0	0	1	3
144	12	92	6	5	0	0	0	0	0	1	3
145	12	92	6	5	0	0	0	0	0	1	3
146	12	92	6	5	0	0	0	0	0	1	3
