# cycle	pc	r0	r1	r2	r3	r4	r5	r6	r7	pin_out	pin_oe
0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	1	1
2	2	85	0	0	0	0	0	0	0	1	1
3	3	85	0	0	0	0	0	0	0	0	1
4	4	85	7	0	0	0	0	0	0	0	1
5	5	85	7	0	0	0	0	0	0	0	1
6	5	85	7	0	0	0	0	0	0	0	1
7	5	85	7	0	0	0	0	0	0	0	1
8	5	85	7	0	0	0	0	0	0	0	1
9	5	85	7	0	0	0	0	0	0	0	1
10	5	85	7	0	0	0	0	0	0	0	1
11	5	85	7	0	0	0	0	0	0	0	1
12	5	85	7	0	0	0	0	0	0	0	1
13	5	85	7	0	0	0	0	0	0	0	1
14	5	85	7	0	0	0	0	0	0	0	1
15	5	85	7	0	0	0	0	0	0	0	1
16	5	85	7	0	0	0	0	0	0	0	1
17	5	85	7	0	0	0	0	0	0	0	1
18	5	85	7	0	0	0	0	0	0	0	1
19	5	85	7	0	0	0	0	0	0	0	1
20	5	85	7	0	0	0	0	0	0	0	1
21	5	85	7	0	0	0	0	0	0	0	1
22	5	85	7	0	0	0	0	0	0	0	1
23	5	85	7	0	0	0	0	0	0	0	1
24	5	85	7	0	0	0	0	0	0	0	1
25	5	85	7	0	0	0	0	0	0	0	1
26	5	85	7	0	0	0	0	0	0	0	1
27	5	85	7	0	0	0	0	0	0	0	1
28	5	85	7	0	0	0	0	0	0	0	1
29	5	85	7	0	0	0	0	0	0	0	1
30	5	85	7	0	0	0	0	0	0	0	1
31	5	85	7	0	0	0	0	0	0	0	1
32	5	85	7	0	0	0	0	0	0	0	1
33	5	85	7	0	0	0	0	0	0	0	1
34	5	85	7	0	0	0	0	0	0	0	1
35	5	85	7	0	0	0	0	0	0	0	1
36	5	85	7	0	0	0	0	0	0	0	1
37	5	85	7	0	0	0	0	0	0	0	1
38	5	85	7	0	0	0	0	0	0	0	1
39	5	85	7	0	0	0	0	0	0	0	1
40	5	85	7	0	0	0	0	0	0	0	1
41	5	85	7	0	0	0	0	0	0	0	1
42	5	85	7	0	0	0	0	0	0	0	1
43	5	85	7	0	0	0	0	0	0	0	1
44	5	85	7	0	0	0	0	0	0	0	1
45	5	85	7	0	0	0	0	0	0	0	1
46	5	85	7	0	0	0	0	0	0	0	1
47	5	85	7	0	0	0	0	0	0	0	1
48	5	85	7	0	0	0	0	0	0	0	1
49	5	85	7	0	0	0	0	0	0	0	1
50	5	85	7	0	0	0	0	0	0	0	1
51	5	85	7	0	0	0	0	0	0	0	1
52	5	85	7	0	0	0	0	0	0	0	1
53	5	85	7	0	0	0	0	0	0	0	1
54	5	85	7	0	0	0	0	0	0	0	1
55	5	85	7	0	0	0	0	0	0	0	1
56	5	85	7	0	0	0	0	0	0	0	1
57	5	85	7	0	0	0	0	0	0	0	1
58	5	85	7	0	0	0	0	0	0	0	1
59	5	85	7	0	0	0	0	0	0	0	1
60	5	85	7	0	0	0	0	0	0	0	1
61	5	85	7	0	0	0	0	0	0	0	1
62	5	85	7	0	0	0	0	0	0	0	1
63	5	85	7	0	0	0	0	0	0	0	1
64	5	85	7	0	0	0	0	0	0	0	1
65	5	85	7	0	0	0	0	0	0	0	1
66	5	85	7	0	0	0	0	0	0	0	1
67	5	85	7	0	0	0	0	0	0	0	1
68	5	85	7	0	0	0	0	0	0	0	1
69	5	85	7	0	0	0	0	0	0	0	1
70	5	85	7	0	0	0	0	0	0	0	1
71	5	85	7	0	0	0	0	0	0	0	1
72	5	85	7	0	0	0	0	0	0	0	1
73	5	85	7	0	0	0	0	0	0	0	1
74	5	85	7	0	0	0	0	0	0	0	1
75	5	85	7	0	0	0	0	0	0	0	1
76	5	85	7	0	0	0	0	0	0	0	1
77	5	85	7	0	0	0	0	0	0	0	1
78	5	85	7	0	0	0	0	0	0	0	1
79	5	85	7	0	0	0	0	0	0	0	1
80	5	85	7	0	0	0	0	0	0	0	1
81	5	85	7	0	0	0	0	0	0	0	1
82	5	85	7	0	0	0	0	0	0	0	1
83	5	85	7	0	0	0	0	0	0	0	1
84	5	85	7	0	0	0	0	0	0	0	1
85	5	85	7	0	0	0	0	0	0	0	1
86	5	85	7	0	0	0	0	0	0	0	1
87	5	85	7	0	0	0	0	0	0	0	1
88	5	85	7	0	0	0	0	0	0	0	1
89	5	85	7	0	0	0	0	0	0	0	1
90	5	85	7	0	0	0	0	0	0	0	1
91	5	85	7	0	0	0	0	0	0	0	1
92	5	85	7	0	0	0	0	0	0	0	1
93	5	85	7	0	0	0	0	0	0	0	1
94	5	85	7	0	0	0	0	0	0	0	1
95	5	85	7	0	0	0	0	0	0	0	1
96	5	85	7	0	0	0	0	0	0	0	1
97	5	85	7	0	0	0	0	0	0	0	1
98	5	85	7	0	0	0	0	0	0	0	1
99	5	85	7	0	0	0	0	0	0	0	1
100	5	85	7	0	0	0	0	0	0	0	1
101	5	85	7	0	0	0	0	0	0	0	1
102	5	85	7	0	0	0	0	0	0	0	1
103	5	85	7	0	0	0	0	0	0	0	1
104	5	85	7	0	0	0	0	0	0	0	1
105	5	85	7	0	0	0	0	0	0	0	1
106	5	85	7	0	0	0	0	0	0	0	1
107	5	85	7	0	0	0	0	0	0	0	1
108	5	85	7	0	0	0	0	0	0	0	1
109	5	85	7	0	0	0	0	0	0	0	1
